OBJECTID,Join_Count,TARGET_FID,Id,osm_id,highway,waterway,aerialway,barrier,man_made,z_order,other_tags,,,,X,Y
394,4,393,0,776078661,trunk, , , , ,8,"""foot""=>""yes"",""lanes""=>""2"",""oneway""=>""yes"",""ref""=>""G107""",,,,113.983039 ,30.719990 
395,3,394,0,776078661,trunk, , , , ,8,"""foot""=>""yes"",""lanes""=>""2"",""oneway""=>""yes"",""ref""=>""G107""",,,,113.983046 ,30.714318 
396,3,395,0,776084440,trunk, , , , ,8,"""foot""=>""yes"",""oneway""=>""yes"",""ref""=>""G107""",,,,113.983048 ,30.775032 
397,3,396,0,776084440,trunk, , , , ,8,"""foot""=>""yes"",""oneway""=>""yes"",""ref""=>""G107""",,,,113.983062 ,30.775098 
398,3,397,0,776084440,trunk, , , , ,8,"""foot""=>""yes"",""oneway""=>""yes"",""ref""=>""G107""",,,,113.983070 ,30.762362 
399,3,398,0,776084440,trunk, , , , ,8,"""foot""=>""yes"",""oneway""=>""yes"",""ref""=>""G107""",,,,113.983070 ,30.762406 
400,4,399,0,333167347,trunk_link, , , , ,28,"""bridge""=>""yes"",""layer""=>""1"",""oneway""=>""yes""",,,,113.983078 ,30.716081 
401,4,400,0,116184482,trunk_link, , , , ,28,"""bridge""=>""yes"",""layer""=>""1"",""oneway""=>""yes""",,,,113.983079 ,30.716146 
402,3,401,0,776078660,trunk_link, , , , ,8,oneway""=>""yes"",,,,113.983086 ,30.717836 
403,4,402,0,776078661,trunk, , , , ,8,"""foot""=>""yes"",""lanes""=>""2"",""oneway""=>""yes"",""ref""=>""G107""",,,,113.983145 ,30.707795 
404,4,403,0,776078661,trunk, , , , ,8,"""foot""=>""yes"",""lanes""=>""2"",""oneway""=>""yes"",""ref""=>""G107""",,,,113.983162 ,30.707651 
405,3,404,0,776084452,trunk, , , , ,8,oneway""=>""yes"",,,,113.983185 ,30.762425 
406,3,405,0,776084453,trunk, , , , ,8,oneway""=>""yes"",,,,113.983186 ,30.762363 
408,3,407,0,776078667,trunk, , , , ,8,"""foot""=>""yes"",""oneway""=>""yes"",""ref""=>""G107;G316""",,,,113.983203 ,30.775092 
411,3,410,0,776078672,trunk, , , , ,8,"""foot""=>""yes"",""oneway""=>""yes"",""ref""=>""S106""",,,,113.983204 ,30.720054 
